date,GBPUSD,USDJPY,USDCAD,GBPCHF,CHFJPY,AUDCHF,EURGBP,GBPJPY,EURJPY,EURCAD,EURAUD,NZDCAD,AUDNZD,empty,sum
2020.09.07,-903.0000000000093,-52.99999999999727,394.9999999999898,293.99999999999426,-265.00000000000057,-209.9999999999991,-417.0000000000007,791.0000000000252,-251.00000000000477,136.99999999998712,127.99999999999478,-83.9999999999952,-313.00000000000773,,-751.0000000000235
2020.09.07,-944.0000000000115,-48.00000000000182,410.99999999998363,290.9999999999968,-329.9999999999983,-198.99999999999363,-431.0000000000036,800.0000000000114,-277.000000000001,158.99999999999804,130.99999999999224,-85.99999999999719,-304.9999999999997,,-828.0000000000246
2020.09.07,-934.0000000000126,-33.999999999991815,427.99999999998397,283.99999999999534,-341.99999999999875,-221.99999999999997,-433.0000000000056,837.0000000000175,-280.00000000000114,177.00000000000495,131.99999999999878,-90.0000000000012,-323.0000000000066,,-800.0000000000173
2020.09.07,-938.0000000000166,-42.999999999992156,434.000000000001,336.9999999999873,-331.00000000000307,-205.99999999999508,-426.00000000000415,874.0000000000236,-278.99999999999636,166.99999999998383,141.99999999999767,-92.99999999999864,-329.00000000000153,,-691.0000000000141
2020.09.07,-922.0000000000006,-46.999999999997044,436.9999999999985,346.9999999999862,-279.0000000000106,-170.99999999999892,-405.9999999999952,848.0000000000132,-287.9999999999967,146.00000000000168,141.99999999999767,-73.00000000000084,-323.0000000000066,,-589.0000000000093
2020.09.07,-931.0000000000151,-43.99999999999693,429.99999999999704,360.9999999999891,-275.0000000000057,-163.00000000000205,-404.99999999999983,854.0000000000134,-310.99999999999284,127.99999999999478,147.00000000000824,-42.999999999993044,-306.00000000000625,,-558.0000000000091
2020.09.07,-939.0000000000009,-36.000000000001364,426.9999999999996,360.9999999999891,-279.0000000000106,-148.99999999999915,-394.00000000000546,868.0000000000234,-307.9999999999927,129.00000000000134,139.00000000000023,-47.9999999999925,-285.00000000000193,,-513.999999999991
2020.09.07,-930.0000000000086,-48.00000000000182,431.99999999998795,354.9999999999942,-267.0000000000101,-141.99999999999767,-387.000000000004,847.0000000000084,-319.0000000000026,99.99999999998899,161.99999999999548,-69.9999999999923,-293.99999999999426,,-561.0000000000364
2020.09.07,-960.0000000000053,-34.99999999999659,419.9999999999982,368.9999999999971,-332.9999999999984,-147.99999999999258,-409.0000000000038,871.0000000000093,-320.99999999999795,104.99999999999955,146.00000000000168,-69.9999999999923,-285.00000000000193,,-649.999999999983
2020.09.08,-998.00000000001,-43.99999999999693,427.99999999998397,336.9999999999873,-367.00000000000443,-161.00000000000003,-424.00000000000216,868.9999999999998,-367.00000000000443,119.00000000000244,116.99999999998934,-95.00000000000064,-282.0000000000045,,-868.0000000000605
2020.09.08,-995.0000000000125,-30.000000000001137,441.0000000000025,359.99999999998255,-352.00000000000387,-154.99999999999403,-446.9999999999974,870.0000000000045,-325.00000000000284,129.99999999998568,150.00000000000568,-91.99999999999208,-245.0000000000063,,-690.0000000000294
2020.09.08,-977.0000000000057,-36.99999999999193,405.9999999999952,380.9999999999869,-325.00000000000284,-168.00000000000148,-468.9999999999972,883.0000000000098,-289.0000000000015,160.99999999998892,100.99999999999554,-68.99999999999685,-304.9999999999997,,-707.0000000000209
2020.09.08,-923.0000000000072,-58.9999999999975,404.9999999999887,351.99999999999676,-249.00000000000944,-176.99999999999383,-446.9999999999974,849.000000000018,-250.0,141.99999999999767,119.00000000000244,-70.99999999999883,-285.99999999998624,,-594.9999999999868
2020.09.08,-943.000000000005,-57.999999999992724,405.9999999999952,363.9999999999866,-263.00000000000523,-203.99999999999307,-455.0000000000054,856.000000000023,-250.0,150.00000000000568,153.9999999999875,-73.99999999999629,-323.0000000000066,,-640.0000000000064
2020.09.08,-974.0000000000082,-55.999999999997385,418.9999999999916,384.9999999999909,-266.00000000000534,-192.00000000000327,-487.99999999999955,874.0000000000236,-248.00000000000466,184.99999999999073,103.00000000000864,-63.00000000000195,-365.99999999999966,,-687.0000000000143
2020.09.08,-967.0000000000067,-51.9999999999925,409.99999999999926,350.9999999999902,-322.00000000000273,-244.99999999999523,-478.9999999999961,911.0000000000014,-298.0000000000018,184.99999999999073,146.00000000000168,-82.99999999999974,-387.000000000004,,-830.0000000000157
2020.09.08,-1099.0000000000055,-60.99999999999284,468.9999999999861,343.99999999998875,-396.0000000000008,-242.99999999999324,-504.9999999999999,943.000000000012,-365.99999999999966,170.00000000000347,163.00000000000205,-91.99999999999208,-385.99999999999744,,-1058.9999999999889
