date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,NZDJPY,AUDNZD,empty,sum
2017.05.24,-463.9999999999977,348.9999999999993,82.00000000000429,-970.9999999999894,-131.99999999999878,180.0000000000024,-41.000000000002146,248.00000000000378,560.9999999999928,-368.00000000000165,-512.9999999999968,-1310.9999999999955,193.99999999999417,477.00000000000387,422.00000000001125,-1237.9999999999836,915.9999999999968,-19.00000000001345,-656.9999999999965,-2513.0000000000095,-1847.999999999999,1116.000000000006,,-5529.999999999969
2017.05.24,-378.999999999996,265.0000000000041,19.999999999997797,-917.9999999999922,-200.00000000000017,125.00000000000844,-19.999999999997797,167.9999999999904,576.9999999999982,-631.9999999999992,-475.99999999999864,-1283.000000000001,183.99999999999528,532.0000000000107,353.0000000000033,-1100.9999999999964,878.0000000000001,-768.0000000000131,-680.9999999999983,-2540.000000000009,-1815.0000000000118,1127.9999999999957,,-6583.000000000009
2017.05.24,-389.99999999999034,331.999999999999,48.99999999998794,-1068.9999999999884,594.99999999999,41.000000000002146,-1.999999999990898,112.000000000001,679.000000000002,-727.9999999999953,-380.00000000000256,-1173.0000000000018,188.9999999999947,664.0000000000157,1324.000000000014,-933.9999999999905,961.9999999999891,-897.9999999999987,-524.9999999999977,-2351.000000000014,-1799.0000000000066,1001.9999999999918,,-4299.999999999989
2017.05.24,-451.9999999999969,411.0000000000058,113.99999999999189,-1030.0000000000011,533.99999999999,102.00000000000209,36.999999999998145,148.99999999999915,626.9999999999953,-746.0000000000023,-478.0000000000006,-1219.9999999999989,200.99999999999562,614.0000000000043,1482.0000000000055,-1130.9999999999932,914.0000000000015,-974.9999999999925,-695.0000000000011,-2405.0000000000127,-1763.0000000000052,990.000000000002,,-4720.000000000014
2017.05.24,-481.9999999999935,492.0000000000035,221.99999999998886,-1102.9999999999945,583.0000000000002,109.00000000000354,5.999999999994898,163.9999999999864,631.9999999999908,-792.9999999999993,-480.99999999999807,-1224.9999999999984,186.99999999999272,582.9999999999984,1582.0000000000168,-1122.9999999999852,876.9999999999953,-1046.0000000000136,-699.0000000000052,-2404.000000000006,-1792.0000000000016,1002.9999999999983,,-4708.0000000000255
2017.05.24,-428.9999999999905,541.0000000000136,201.99999999999108,-1066.9999999999932,527.9999999999951,103.00000000000864,113.99999999999189,160.99999999998892,656.9999999999965,-692.9999999999992,-436.00000000000307,-1207.999999999998,241.00000000000233,554.000000000002,1571.0000000000114,-1158.9999999999989,902.9999999999916,-880.0000000000141,-656.0000000000122,-2425.999999999995,-1798.0000000000018,1024.0000000000027,,-4153.00000000001
2017.05.24,-427.99999999999505,584.0000000000067,163.9999999999864,-1058.9999999999975,445.99999999999085,134.0000000000008,147.00000000000824,164.99999999999292,655.9999999999917,-702.0000000000026,-432.9999999999945,-1219.0000000000034,275.000000000003,545.9999999999923,1455.0000000000064,-1238.99999999999,940.9999999999883,-886.9999999999934,-663.999999999998,-2429.9999999999986,-1812.0000000000118,1076.0000000000102,,-4284.000000000007
2017.05.24,-456.00000000000085,541.0000000000136,116.00000000000499,-1013.9999999999958,455.0000000000054,135.00000000000733,121.99999999999989,187.99999999998818,604.9999999999898,-655.0000000000056,-456.00000000000085,-1241.0000000000032,285.00000000000193,502.00000000000955,1458.0000000000036,-1234.9999999999861,905.9999999999917,-747.9999999999931,-652.0000000000082,-2462.0000000000086,-1808.0000000000068,1095.0000000000016,,-4318.999999999991
2017.05.24,-406.9999999999907,503.000000000009,87.99999999999919,-992.999999999995,554.9999999999944,141.00000000000225,148.99999999999915,190.00000000000128,664.0000000000015,-687.0000000000043,-443.0000000000045,-1222.9999999999964,290.00000000000136,497.99999999999045,1556.0000000000018,-1252.999999999993,943.9999999999884,-804.0000000000047,-636.9999999999986,-2427.0000000000014,-1796.0000000000064,1096.9999999999925,,-3995.0000000000127
2017.05.24,-384.9999999999909,229.00000000001253,-175.00000000001404,-1067.9999999999977,608.0000000000085,138.00000000000477,144.99999999999514,148.99999999999915,573.9999999999981,-697.0000000000032,-493.99999999999443,-1315.999999999995,288.9999999999948,359.00000000000887,1529.0000000000025,-1468.0000000000027,820.999999999998,-842.9999999999937,-744.0000000000114,-2669.9999999999945,-1862.9999999999995,1019.9999999999986,,-5861.999999999976
