date,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,AUDJPY,AUDNZD,empty,sum
2017.05.15,-205.99999999999508,425.99999999999307,-621.9999999999999,-539.999999999985,248.00000000000378,255.00000000000523,-94.00000000001629,-1057.9999999999927,-85.99999999999719,-40.00000000000669,-9.999999999998899,-383.99999999999545,881.0000000000002,-509.99999999998823,-421.0000000000047,-1207.9999999999984,-71.99999999998319,120.99999999999334,262.00000000000665,-777.000000000001,-187.99999999998818,,-4022.9999999999486
2017.05.15,-224.99999999998633,431.99999999998795,-600.9999999999991,-629.9999999999973,201.00000000000674,224.000000000002,-87.00000000001484,-1048.9999999999923,-129.9999999999968,-7.9999999999968985,-4.999999999999449,-358.9999999999982,925.0000000000114,-611.9999999999903,-276.9999999999939,-1193.9999999999884,-45.99999999999049,163.9999999999864,261.0000000000001,-738.9999999999901,-144.99999999999514,,-3899.9999999999354
2017.05.15,-163.9999999999864,424.99999999998647,-628.0000000000001,-669.9999999999928,202.0000000000022,265.99999999998846,-87.00000000001484,-1057.9999999999927,-152.99999999999204,-4.999999999999449,-31.000000000003247,-365.0000000000042,915.9999999999968,-676.9999999999943,-340.00000000000693,-1199.9999999999886,28.000000000005798,170.99999999998784,200.00000000000017,-739.9999999999949,-126.99999999998823,,-4036.9999999999914
2017.05.16,-163.9999999999864,411.99999999999017,-626.0000000000048,-663.999999999998,194.0000000000053,278.9999999999848,-97.00000000001374,-1054.9999999999927,-140.99999999999113,-4.000000000004,-25.00000000000835,-380.999999999998,663.0000000000109,-697.9999999999986,-418.0000000000073,-1214.999999999989,21.00000000000435,150.99999999999002,131.99999999999878,-746.9999999999999,-151.9999999999966,,-4535.000000000005
2017.05.16,-166.99999999998383,424.99999999998647,-448.99999999999807,-631.9999999999882,216.0000000000051,285.00000000000193,-86.0000000000083,-938.0000000000024,-109.99999999999899,-31.999999999998696,-85.00000000000173,-367.0000000000062,675.0000000000114,-639.9999999999961,-337.99999999999386,-1028.9999999999964,41.000000000002146,167.00000000000603,102.00000000000209,-616.9999999999902,-104.99999999999955,,-3683.9999999999477
2017.05.16,-200.00000000000017,445.0000000000065,-507.99999999999557,-656.9999999999965,229.00000000000142,297.9999999999983,-90.99999999999665,-969.9999999999989,-130.99999999999224,12.000000000000899,-51.000000000001044,-373.00000000000114,717.000000000013,-647.9999999999819,-344.99999999999534,-1107.99999999999,-15.999999999993797,178.99999999999582,145.00000000001734,-662.9999999999967,-59.99999999999339,,-3795.9999999999
2017.05.16,-189.99999999997908,475.0000000000032,-501.0000000000048,-649.999999999995,248.99999999999923,313.99999999999204,-92.00000000000318,-984.9999999999994,-108.99999999999244,-4.999999999999449,-67.00000000000594,-383.0,777.9999999999916,-602.999999999998,-377.9999999999894,-1116.9999999999902,-11.999999999989797,157.99999999999147,113.00000000000753,-688.999999999993,-49.99999999999449,,-3743.999999999949
2017.05.16,-182.99999999999983,465.0000000000043,-513.9999999999958,-649.999999999995,273.9999999999965,343.00000000000443,-62.000000000006494,-1010.9999999999957,-97.9999999999981,-16.0000000000049,-67.00000000000594,-377.0000000000051,807.0000000000164,-597.9999999999874,-431.99999999998795,-1131.999999999991,17.000000000000348,110.99999999999443,77.00000000001594,-736.9999999999948,-65.00000000000395,,-3847.9999999999395
2017.05.16,-211.99999999998997,465.0000000000043,-483.99999999999466,-654.9999999999834,273.000000000001,327.99999999999494,-56.000000000011596,-993.9999999999998,-90.0000000000012,-7.9999999999968985,-67.00000000000594,-382.00000000000455,764.00000000001,-600.9999999999849,-415.99999999999415,-1097.999999999999,7.0000000000014495,126.0000000000039,79.00000000000685,-702.9999999999887,-58.99999999998684,,-3782.9999999999186
2017.05.16,-231.99999999998778,469.99999999999267,-585.9999999999985,-696.999999999992,275.99999999999847,278.00000000000045,-82.00000000000429,-1092.9999999999893,-129.9999999999968,-102.00000000000209,-161.00000000000003,-367.0000000000062,850.9999999999991,-630.9999999999816,-553.9999999999878,-1247.9999999999905,56.99999999999594,-26.999999999999247,-101.99999999997988,-870.9999999999951,-97.9999999999981,,-5048.999999999923
