date,USDCHF,GBPUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,AUDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURAUD,EURNZD,CADJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2019.03.19,-314.0000000000032,243.99999999999977,67.00000000000728,-196.0000000000184,-41.9999999999976,-101.00000000000664,607.9999999999864,28.000000000005798,-266.00000000000534,-198.99999999999363,324.9999999999975,384.9999999999909,556.0000000000009,407.99999999998613,198.99999999999807,-382.0000000000157,-291.9999999999812,-50.00000000001137,-55.00000000000682,-95.00000000000064,-19.00000000000235,28.000000000005798,,836.9999999999354
2019.03.20,-286.00000000000847,252.0000000000078,70.99999999999795,-145.00000000001734,-41.9999999999976,-85.99999999999719,611.9999999999903,35.00000000000725,-278.0000000000058,-179.99999999999127,383.99999999999545,353.999999999985,453.99999999999886,397.99999999998727,229.99999999998977,-381.0000000000091,-313.99999999999204,-35.0000000000108,-42.00000000000159,-61.999999999995396,-46.00000000000159,26.999999999999247,,919.9999999999305
2019.03.20,-326.9999999999995,234.00000000000088,82.99999999999841,-168.0000000000126,-73.00000000000084,-106.00000000000608,607.9999999999864,39.00000000001125,-302.99999999999727,-178.99999999999582,385.99999999999744,366.9999999999902,443.99999999999994,407.0000000000018,238.9999999999901,-370.00000000000364,-265.99999999998846,-45.000000000001705,-51.00000000000193,-46.999999999997044,-59.000000000009045,35.999999999991594,,848.9999999999543
2019.03.20,-317.0000000000006,241.00000000000233,90.00000000000341,-135.00000000001845,-69.00000000000794,-101.00000000000664,628.0000000000064,45.000000000006146,-299.99999999999716,-195.00000000000074,392.00000000000347,377.9999999999859,463.9999999999977,404.0000000000044,232.99999999998988,-399.00000000001603,-331.999999999999,-23.000000000010346,-40.00000000000625,-56.0000000000005,-46.00000000000159,8.999999999992347,,870.9999999999269
2019.03.20,-307.0000000000017,261.0000000000001,55.999999999997385,-127.00000000001043,-50.0000000000056,-104.00000000000409,655.9999999999899,43.00000000001525,-323.0000000000075,-202.9999999999976,412.9999999999967,341.99999999998454,495.99999999998533,408.9999999999927,242.999999999995,-406.00000000001745,-317.9999999999961,-50.00000000001137,-76.00000000000762,-48.000000000003595,-50.0000000000056,26.999999999999247,,883.9999999998873
2019.03.20,-312.00000000000114,263.00000000001324,-36.99999999999193,-147.00000000000824,-36.999999999998145,-100.00000000000009,656.9999999999965,26.0000000000149,-402.000000000001,-235.99999999999176,410.9999999999947,247.99999999999045,496.99999999999187,309.0000000000037,296.99999999999704,-539.0000000000006,-425.99999999999307,-112.00000000000898,-112.99999999999955,-104.00000000000409,-41.000000000002146,34.000000000000696,,136.0000000000023
2019.03.20,-299.00000000000483,313.00000000000773,-147.99999999999613,-104.00000000001519,14.000000000002899,-46.00000000000159,685.0000000000023,18.0000000000069,-460.9999999999985,-402.9999999999978,436.00000000000307,197.99999999997908,472.9999999999901,-89.00000000000574,362.99999999999955,-920.0000000000097,-681.9999999999826,-137.00000000000045,-73.99999999999807,-305.99999999999517,8.999999999992347,69.9999999999923,,-1090.0000000000296
2019.03.20,-226.00000000000398,360.0000000000048,-219.99999999999886,-13.000000000018552,180.0000000000024,95.00000000000064,638.9999999999895,12.000000000012001,-484.99999999999943,-419.9999999999982,422.9999999999956,125.99999999997635,468.00000000000176,-202.00000000001327,426.9999999999925,-961.0000000000118,-783.9999999999848,-179.00000000000205,-18.000000000000682,-336.00000000000296,124.99999999999733,63.99999999999739,,-925.0000000000645
2019.03.20,-243.00000000000432,333.0000000000055,-164.00000000000148,-60.000000000015596,134.99999999999625,104.99999999999955,622.9999999999958,4.000000000004,-453.9999999999935,-376.99999999999403,419.00000000000273,159.9999999999966,466.9999999999952,-126.0000000000039,426.9999999999925,-875.0000000000035,-800.9999999999851,-167.0000000000016,21.99999999999136,-290.00000000000136,178.99999999999582,15.999999999993797,,-667.0000000000355
2019.03.20,-255.00000000000523,347.0000000000084,-146.99999999999136,-85.00000000000173,127.99999999999478,97.00000000000264,672.0000000000059,26.999999999999247,-453.9999999999935,-339.99999999999585,430.9999999999925,200.9999999999934,544.9999999999955,51.000000000001044,424.99999999999716,-773.0000000000015,-703.9999999999935,-167.0000000000016,18.999999999991246,-253.99999999999866,168.99999999999693,-4.999999999988347,,-71.9999999999927
2019.03.20,-239.0000000000003,365.99999999999966,-156.99999999999648,-103.00000000000864,98.99999999999353,82.99999999999974,663.999999999998,29.999999999996696,-462.0000000000033,-308.9999999999926,429.0000000000016,186.9999999999834,568.9999999999973,113.99999999999189,432.00000000000216,-685.0000000000023,-691.9999999999815,-193.00000000001205,-12.000000000000455,-231.0000000000034,176.99999999999383,-12.999999999996348,,53.99999999996054
