date,USDCHF,USDJPY,USDCAD,AUDUSD,CADCHF,EURCAD,CADJPY,AUDJPY,NZDCAD,empty,sum
2016.08.02,43.999999999999595,155.9999999999917,987.9999999999889,-661.9999999999959,-577.0000000000052,-1128.000000000018,-402.000000000001,-551.0000000000019,339.0000000000004,,-1793.0000000000414
2016.08.02,9.999999999998899,141.9999999999959,1000.0000000000009,-682.0000000000048,-575.0000000000033,-1184.0000000000073,-441.99999999999307,-593.9999999999941,343.9999999999999,,-1981.0000000000068
2016.08.02,8.000000000008,70.99999999999795,981.999999999994,-682.0000000000048,-553.0000000000035,-1139.0000000000011,-469.99999999999886,-618.9999999999998,380.999999999998,,-2021.0000000000102
2016.08.02,36.999999999998145,33.999999999991815,952.9999999999816,-653.999999999999,-607.0000000000019,-1206.0000000000182,-489.9999999999949,-617.999999999995,378.00000000000057,,-2173.000000000037
2016.08.02,85.00000000000173,10.99999999999568,952.9999999999816,-560.0000000000049,-608.0000000000085,-1190.0000000000023,-494.99999999999034,-566.0000000000025,462.0000000000068,,-1908.0000000000223
2016.08.02,63.00000000000195,69.99999999999318,956.0000000000013,-622.0000000000003,-647.0000000000086,-1270.0000000000155,-459.99999999999375,-530.0000000000011,413.0000000000078,,-2027.000000000015
2016.08.02,58.99999999999794,134.9999999999909,1042.9999999999939,-665.9999999999999,-645.0000000000067,-1253.0000000000152,-460.9999999999985,-542.0000000000016,419.9999999999982,,-1910.000000000041
2016.08.02,31.999999999998696,387.999999999991,1075.9999999999882,-585.0000000000022,-664.000000000009,-1310.0000000000111,-281.9999999999965,-286.00000000000136,470.00000000000375,,-1161.0000000000387
2016.08.02,69.00000000000794,384.9999999999909,1063.9999999999982,-578.9999999999961,-651.0000000000016,-1272.0000000000064,-289.99999999999204,-307.9999999999927,457.0000000000074,,-1124.9999999999845
2016.08.02,86.0000000000083,329.9999999999983,1024.999999999987,-575.0000000000033,-636.9999999999986,-1274.0000000000196,-307.00000000000216,-308.9999999999975,346.9999999999973,,-1314.0000000000302
2016.08.02,112.000000000001,198.99999999999807,978.9999999999966,-563.9999999999978,-625.0000000000089,-1219.0000000000146,-370.9999999999951,-423.9999999999924,529.9999999999972,,-1383.0000000000155
2016.08.02,103.00000000000864,207.9999999999984,954.9999999999948,-822.0000000000005,-631.0000000000038,-1264.0000000000207,-365.99999999999966,-694.0000000000026,463.0000000000023,,-2048.000000000023
2016.08.02,85.00000000000173,212.0000000000033,916.99999999999,-1051.9999999999973,-648.0000000000041,-1314.0000000000152,-394.999999999996,-894.999999999996,338.00000000000495,,-2752.0000000000086
2016.08.02,129.00000000000134,129.99999999999545,983.9999999999849,-787.9999999999998,-665.9999999999999,-1337.0000000000105,-438.0000000000024,-674.9999999999972,514.9999999999987,,-2146.000000000029
2016.08.02,153.00000000000313,0.999999999990564,859.9999999999941,-644.9999999999956,-658.9999999999985,-1313.0000000000086,-471.9999999999942,-582.9999999999984,577.0000000000052,,-2081.000000000002
