date,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,GBPCHF,CHFJPY,CADCHF,EURGBP,GBPJPY,EURJPY,EURNZD,AUDJPY,NZDCAD,AUDNZD,empty,sum
2016.08.08,-14.000000000002899,-146.00000000000168,198.0000000000075,15.00000000000945,-7.0000000000014495,-185.99999999999727,370.00000000000455,200.99999999999562,-192.99999999999872,-217.00000000001296,-364.0000000000043,-692.0000000000038,126.99999999999534,246.00000000000176,-318.9999999999804,,-980.9999999999893
2016.08.08,-208.99999999999253,-18.999999999991246,253.0000000000001,-29.999999999996696,-48.000000000003595,-60.99999999999994,371.9999999999999,214.99999999999852,-225.99999999999287,-86.99999999998909,-296.0000000000065,-595.9999999999966,129.0000000000049,261.99999999999557,-325.99999999998187,,-666.9999999999518
2016.08.08,-181.00000000000892,-65.00000000000395,236.0000000000042,173.00000000000094,179.99999999999127,-104.99999999999955,343.0000000000035,338.00000000000495,-243.99999999999977,-93.99999999999409,-322.00000000000273,-300.99999999999574,346.00000000000364,190.00000000000128,-392.9999999999989,,101.0000000000062
2016.08.08,-207.00000000000162,-85.00000000000173,358.0000000000041,131.99999999999878,168.99999999999693,-110.99999999999443,438.0000000000024,336.00000000000296,-273.9999999999965,-229.99999999998977,-480.000000000004,-367.0000000000062,430.9999999999974,182.00000000000438,-405.9999999999952,,-113.9999999999826
2016.08.08,-201.99999999999108,-83.9999999999952,347.0000000000084,163.00000000000205,184.99999999999073,-107.00000000001265,433.9999999999975,348.00000000000387,-268.0000000000016,-219.99999999999886,-466.99999999999875,-381.99999999999346,439.00000000000716,219.00000000000253,-441.99999999998687,,-36.99999999996618
2016.08.08,-272.99999999998994,-63.99999999999739,349.00000000000375,153.00000000000313,171.99999999999437,-173.00000000000094,323.0000000000075,419.9999999999982,-297.9999999999983,-146.99999999999136,-445.99999999999795,-270.99999999999903,424.99999999999716,163.99999999999747,-364.9999999999931,,-30.99999999996652
2016.08.08,-297.9999999999983,-140.0000000000068,510.0000000000051,160.00000000000458,176.99999999999383,-46.999999999997044,575.0000000000028,363.99999999999767,-375.9999999999986,-331.99999999999363,-704.9999999999983,-443.99999999999994,554.000000000002,204.00000000000418,-420.9999999999825,,-218.9999999999649
2016.08.08,-217.0000000000005,-119.00000000000244,468.0000000000035,173.00000000000094,233.99999999998977,-191.00000000000784,478.9999999999992,409.99999999999926,-304.9999999999997,-360.00000000001364,-634.0000000000003,-371.00000000001023,579.9999999999983,188.9999999999947,-462.9999999999912,,-127.00000000004036
2016.08.08,59.000000000009045,-82.00000000000429,412.9999999999967,112.000000000001,241.99999999999778,-531.9999999999991,364.9999999999949,417.99999999999613,-95.99999999999609,-568.000000000012,-536.0000000000014,-313.00000000000773,546.999999999997,143.9999999999997,-474.999999999981,,-302.00000000000944
2016.08.08,-60.99999999999994,-9.999999999998899,399.0000000000009,123.00000000000644,224.9999999999974,-445.0000000000065,326.0000000000076,439.0000000000005,-125.99999999999278,-430.0000000000068,-445.0000000000074,-344.99999999999534,518.0000000000007,229.00000000000142,-541.9999999999981,,-144.99999999999073
2016.08.08,-154.0000000000097,1.999999999990898,442.0000000000073,70.99999999999883,174.99999999999181,-322.00000000000006,399.0000000000009,392.9999999999989,-173.9999999999964,-389.00000000001,-481.9999999999993,-219.99999999999798,500.0,126.0000000000039,-394.9999999999898,,-28.000000000010743
2016.08.08,-123.00000000000644,-46.999999999997044,477.00000000000387,204.00000000000418,244.99999999999523,-307.00000000001285,468.0000000000035,443.99999999999994,-192.00000000000327,-467.9999999999893,-572.0000000000027,-307.99999999999716,597.999999999999,231.99999999999886,-507.9999999999973,,142.99999999999858
